Puesto laboral,Empresa,Estado,Ciudad,Salario mínimo,Salario máximo,Tipo de moneda,Descripción,Giro de la empresa,Fecha de publicación,Vigencia de la oferta,País,Esquema de pago,Cantidad de lenguajes requeridos,Título ofrecido,Requerimiento educación,Salario promedio,Lenguajes de programación/tecnologías requeridas,Modalidad,Estudios previos,Experiencia (Años) ,Habilidades blandas,Idiomas
Cientifico/Analista de Datos SR (Presencial CDMX),Confidencial,México,Ciudad de México,1250.0,2000.0,MXN,"Científico y Analista de datos que nos ayude a encontrar los conocimientos ocultos en volúmenes masivos de datos y a tomar decisiones más acertadas para que podamos ofrecer productos aún mejores. Su enfoque principal estará en las técnicas de minería de datos, el análisis estadístico y el desarrollo de sistemas de predicción de alta calidad que se integran con nuestros productos.Funciones: Lídera el equipo de Analistas de Data del área de Experimentación.Coordinar y acordar con diferentes equipos internos y externos para implementar modelos y monitorear resultados.Desarrolle procesos y herramientas para monitorear y analizar el rendimiento del modelo y la precisión de los datos.Colabore con las partes interesadas de toda la organización para descubrir formas de utilizar los datos corporativos para crear soluciones empresariales.Extraiga y analice datos de las bases de datos de la empresa para promover la optimización y la mejora del desarrollo de productos, las tácticas de marketing, producto y las estrategias comerciales.Examinar la eficacia y precisión de nuevas fuentes de datos y procedimientos de recopilación de datos.Para aplicar a conjuntos de datos, cree modelos de datos y algoritmos únicos.Aumente y mejore las experiencias de los clientes, la creación de ingresos, la orientación de anuncios y otros resultados de la empresa a través de modelos predictivos.Desarrolle un marco de pruebas A/B para los proyectos y evalúe la calidad del modelo.Actividades: Manejo y liderazgo de equipo de Analistas de Data.Entendimiento y presentación de los hallazgos clave para los sprints semanales para facilitar la toma de decisión.Evaluar datos, analizar resultados usando técnicas estadísticas para entregar informes continuosDesarrollar e implementar bases de datos, sistemas de recopilación de datos, análisis de datos, etc. para optimizar el rendimiento estadístico.Recopile datos de varias fuentes de datos y administre bases de datos/sistemas de datosReconocer, analizar y describir patrones y tendencias de conjuntos de datos complejosExamine y limpie los datos mediante la revisión de informes e indicadores de rendimiento para encontrar y corregir problemas de códigoExperiencia laboral y habilidades en: Conocimiento de herramientas de visualización de datos como D3.js, GGplot y otras...Conocimiento práctico de bases de datos NoSQL como MongoDB, Cassandra y HBase (según las necesidades del proyecto).Competencia con lenguajes de consulta como SQL, Hive y Pig (la lista exacta depende de lo que su organización esté utilizando.R, Weka, NumPy, MatLab y otros conjuntos de herramientas de ciencia de datos importantes son ejemplos .Excelente conocimiento de algoritmos y técnicas de aprendizaje automático.Buenas habilidades de scripting y programación (si espera que la persona en este rol integre la solución dentro de la aplicación).Buenas habilidades de estadística aplicada, como distribuciones, pruebas estadísticas, regresión, etc.Tipo de puesto: Tiempo completoSalario: $25,000.00 - $40,000.00 al mesHorario:Turno de 8 horasTipos de compensaciones:Bono de productividadPuede trasladarse/mudarse:Ciudad de México: Trasladarse al trabajo sin problemas o planear mudarse antes de comenzar a trabajar (Deseable)Experiencia:Cientifico de datos: 7 años (Obligatorio)Análisis de datos: 6 años (Obligatorio)",not specified,2022-08-18,2022-10-16,MX,month,8,Senior,0,1625.0,"mongodb,cassandra,sql,hive,r,weka,numpy,matlab",presencial,not specified,6.0,not specified,not specified
Analista de Datos,Experience IT,not specified,not specified,1250.0,1250.0,MXN,"Empresa dedicada a la administración de cartera en fideicomisos, cobranza y bursatilizaciones:SOLICITA- DATA ANALYSTRequisitos:Escolaridad: Economía, Informática, Estadística, Ing. Sistemas Computacionales o afín.Inglés: Intermedio-avanzadoExperiencia: 3 años con las siguientes actividades:Conocimiento en armado de bases y consultas por medio de SQLExcel avanzadoPower BI, ETL´s, Tableu, Power AutomateConocimiento deseable en AWS, Azure, Google Cloud.Proceso de ETL, manejo de bases de datos y reporteoDeseable haber laborado en sistema bancario, financiero, SOFOM.Ofrecemos:Sueldo: $25,000 a 33,000 pesos netosPrestaciones de leyEsquema mixtoEsquema Hibrido (Colonia del Valle, Benito Juárez, CDMX)Experiencia y competencias:Análisis y reporte de informes para la toma de decisiones corporativasDesarrollar soluciones para la automatización del manejo de datosAnálisis para resolver problemas relacionado con datosManejo de SQL server.Habilidades de comunicación, autodidacta, tolerante, enfocado a resultadosAplica a nuestra vacante por este medio y nos comunicamos contigo. Tipo de puesto: Tiempo completoSalario: $25,000.00 - $33,000.00 al mesHorario:Turno de 8 horasConsideraciones ante el COVID-19:Vacante modalidad Hibrida. Oficina cuenta con medidas de sanidad establecidas por gobierno federal.Experiencia:ETL: 3 años (Obligatorio)Power BI: 3 años (Obligatorio)Data Analyst: 3 años (Deseable)",not specified,2022-09-13,2022-10-16,MX,month,7,Not specified,1,1250.0,"aws,azure,google cloud platform,sql,excel,sql,power bi",híbrido,"economía, informática, estadística, ing. sistemas computacionales o afín",3.0,"habilidades de comunicación, autodidacta, tolerante, enfocado a resultados",Inglés intermedio/avanzado
Programador Analista,GRUPO CSI,Baja California,Tijuana,800.0,1000.0,MXN,"Grupo CSI solicita coordinador de inteligencia de mercados. Debe contemplar cursos de SQL, tecnologías de base de datos.Ofrecemos: Sueldo de $4,000 A $5,000 semanales libres.Requisitos: Dominio en lenguaje de programación tipo Python, Ruby, R etc para la codificación de base de datos y analíticos.Experto en organizar información cuantitativa.Responsabilidades: Diseñar, desarrollar informes analíticos y comerciales que pronostiquen la demanda.Analista de ventas y proyección a mediano plazo por categorías.Escriba códigos SQL para analizar datos y determinar herramientas que nos permitan leer estadísticos para la toma de decisiones en compras.Identificar oportunidades nuevas mercado.Documentación de procesos en esta área.Para postularte: Enviar CV a hugo.lopez @ gpocsi.mx o bien, enviar mensaje al whatsapp 664 363 6135Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $16,000.00 - $20,000.00 al mesHorario:Turno matutinoPregunta(s) de postulación:Puedes trasladarte a plaza centro comercial otay?",not specified,2022-08-16,2022-10-16,MX,week,4,Not specified,0,900.0,"python,ruby,r,sql",not specified,not specified,,not specified,not specified
Analista Financiero Billingue,PMG GDL,Jalisco,Guadalajara,1000.0,1100.0,MXN,"Analista Financiero Título de la vacante: Analista Financiero BillingueDescripción del puesto: El analista financiero proporcionara información precisa y basada en datos sobre la rentabilidad, solvencia, estabilidad y liquidez de la empresa. Él o ella investigara y analizara la información financiera para ayudar a la empresa a tomar decisiones bien informadas, realizar informes y monitorear los movimientos financieros.Responsabilidades Desarrollar presupuestos y previsionesRealizar informes mensualesIdentificar tendencias/valores atípicos y proporcionar análisisRealizar informes mensuales de estado de resultad, flujo de caja, balance y análisis de variacionesPreparar informes financieros, gráficos, tablas y otros documentos que sean solicitadosProporcionar análisis de informes oportunos y precisos del desempeño de la empresa frente a resultados históricos presupuestados y pronosticados para facilitar la toma de decisiones estratégicasMantener y desarrollar modelos financieros para la planeación estratégicaDesarrollar y mantener métricas comerciales claves para determinar fortalezas y debilidades de la empresaPreparar y hacer presentaciones a la alta direcciónAnalizar datos con métodos estadísticos, interpretar los resultados y redactar un resumen de los análisis de los datosTrabajar con colegas para desarrollar análisis estadísticos que aborden preguntas de investigación proyectadasRealizar otras tareas que sean asignadasRequisitos: Licenciatura en finanzas, estadística, Matemáticas, Economía o cualquier otra relacionada con el campo de una institución acreditada.Ingles intermedio avanzado, capaz de mantener conversaciones fluidas2 a 3 años de experienciaExcelente uso de ExcelExperiencia en elaboración de informes y modelos financierosConocimiento de estados financierosConocimiento en bases de datosExperiencia en reportes automáticosHabilidades multi-tasking, saber trabajar de manera independiente, así como en equipoOferta Sueldo Base $20,000 a $22,000 y/o de acuerdo a aptitudes y experienciaPrestaciones de leyVales de despensaDescanso fines de semanaTipo de puesto: Tiempo completoSalario: $20,000.00 - $22,000.00 al mesHorario:Turno de 8 horasPrestaciones:Vales de despensaTipos de compensaciones:Bono de asistenciaBono de puntualidadEducación:Licenciatura terminada (Deseable)Experiencia:Productos Financieros: 1 año (Deseable)Idioma:Inglés (Deseable)",not specified,2022-08-17,2022-10-16,MX,month,1,Not specified,1,1050.0,excel,not specified,"licenciatura en finanzas, estadística, matemáticas, economía o cualquier otra relacionada con el campo de una institución acreditada",2.0,"habilidades multi-tasking, saber trabajar de manera independiente, así como en equipo",Inglés avanzado/fluido
ANALISTA BASE DE DATOS,Banorte,Nuevo León,Monterrey,850.0,950.0,MXN,"Analista Base de DatosObjetivo del puesto: Cumplir con los requerimientos y actividades diarias para facilitar la toma de decisiones de los usuarios.Cada día te encontrarás ante nuevos e interesantes retos dentro de tu puesto, en los cuales serás responsable de:Desarrollar procesos que faciliten la entrega oportuna de la información y aseguren el cumplimiento de los niveles de servicio.Obtener el conocimiento de las diferentes fuentes de información.Brindar indicadores y estadística creando tableros la toma de decisiones.Revisar y analizar el resultado de los procesos operativos diarios y mensuales.Atender requerimientos de los usuarios en tiempo y forma.Identificar áreas de oportunidad y proponer soluciones que ayuden a la integridad de la información.Requisitos:· Formación profesional: Licenciatura o Ingeniería en Sistemas, o carreras afines.· Años de experiencia: 3 Años· Áreas de experiencia:· Conocimientos requeridos: Sistemas, manejo de bases de datos, SQL, Oracle, Herramientas para creación de Dashboards, Office.· Idiomas: Inglés intermedio· Habilidades: Proactivo, análisis de información, trabajo en equipo, sentido de urgenciaTipo de puesto: Tiempo completoSalario: $17,000.00 - $19,000.00 al mesHorario:Turno de 10 horasPrestaciones:Vales de despensaTipos de compensaciones:Bono de productividadExperiencia:SQL: 1 año (Obligatorio)",Finanzas,2022-09-12,2022-10-16,MX,month,3,Not specified,1,900.0,"sql,oracle,office",not specified,"licenciatura o ingeniería en sistemas, o carreras afines",3.0,"proactivo, análisis de información, trabajo en equipo, sentido de urgencia",Inglés intermedio
Analista de Datos para área de Marketing,GAFF INTERNATIONAL,México,Cuautitlán Izcalli,625.0,,MXN,"GAFF INTERNATIONAL empresa 100% mexicana y comprometida con nuestros clientes en brindarles productos de alta calidad, ha logrado consolidarse como una de las mejores empresa metal mecánica y contigo llegaremos a mucho más.Solicitamos : ANALISTA DE DATOS DE MERCADEORequisitos :Licenciaturas Administrativas1 o dos años en de experiencia en un puesto similarExcelente manejo de excel ( se hará prueba)EstadísticaManejo avanzado de DashboardReportes en generalFUNCIONES :Establecer y desarrollar una adecuada proyección y pronostico de ventasIdentificar oportunidades riesgos y tendencias de los clientesAnalizar actividades de la competencia para generar estrategias y acciones que permitan a la empresa reaccionar adecuadamenteOFRECEMOS$12,500 brutos mensualesPrestaciones de leyComerdor SubsidiadoFondo de ahorro del 7%Estabilidad laboral y desarrollo dentro de la empresaPostulate por este medio!!!En breve nos pondremos en contacto contigoTipo de puesto: Tiempo completoSalario: $12,000.00 - $12,500.00 al mesHorario:Turno de 10 horasFecha de inicio prevista: 08/09/2022",not specified,2022-09-01,2022-10-16,MX,month,1,Not specified,1,625.0,excel,not specified,licenciaturas administrativas,1.0,not specified,not specified
Analista Económico / Consultoría Económica,"Consultores Internacionales, S.C",México,Ciudad de México,600.0,600.0,MXN,"Descripción del empleoConsultores Internacionales, S.C. Somos la consultoría económica y de estudios de prospectiva en México, precursora en consultoría con 52 años de experiencia, nuestra vocación de vanguardia se traduce en el desarrollo y oferta de soluciones y metodologías que permitan generar oportunidades y prevención de riesgos, así como la proyección de forma global a corto y largo plazo, la misión y visión de empresas e instituciones.Escolaridad: Lic. Economía tituladoEdad: 25 a 30 añosExperiencia: 1 año en investigación y proyectosEstado civil: indistintoActividades:Mapeo, diseño e implementación de metodologías para análisis de datosLlenado de encuestasAnálisis de datos e información estadística, estimaciones y proyeccionesRedacción temas de Planeación Estratégica y de NegociosColaboración en estudios, proyectos, propuestas cualitativas y cuantitativasSoporte, apoyar en Redes SocialesConocimientos:Estadística STATA y ExcelBase de datosConocimiento de modelos económicosInglésHabilidades:Investigación, análisis y redacciónComunicación oral y escritaFacilidad de palabraProactividadOrganizadoOtros: Econométricas y Estadísticas: SPSS, R, e-ViewsOfrecemos:Salario: $12,000 bruto mensual + bonosTarjeta de despensa.Todas las prestaciones de Ley.Contratación directa por la empresa.Horario: lunes a viernes de 9:00 a 19:00 hrsTipo de puesto: Tiempo completoSalario: $12,000.00 al mesHorario:Turno de 10 horasPrestaciones:Vales de despensaConsideraciones ante el COVID-19:Consideraciones ante el COVID-19:Contamos con todas las medidas de prevención-Sana distancia-Gel antibacterial en todas las áreas comunes-Toma de temperaturaFecha de inicio prevista: 25/09/2022",not specified,2022-08-29,2022-10-16,MX,month,4,Not specified,1,600.0,"spss,r,excel,stata",not specified,lic. economía titulado,1.0,"investigación, análisis y redaccióncomunicación oral y escritafacilidad de palabraproactividadorganizado",Inglés
Marketing Data Analyst (Remoto),Seedup,Chihuahua,Chihuahua,294.3,952.5,MXN,"Como gerente de analistas de datos para nuestros equipos de crecimiento, ayudará a construir las bases de datos y brindará los conocimientos que necesitamos para crecer rápidamente. Tendrá un papel clave para garantizar que estemos utilizando nuestros datos de la mejor manera posible, asegurando decisiones más informadas y permitiendo que sus colegas desarrollen las habilidades necesarias para enfrentar los desafíos que se avecinan.Qué harás como Data Analyst ManagerAsuma un papel de analista principal en nuestros equipos de crecimientoTrabaje como analista de datos y cree las condiciones para un gran conocimiento y desarrolloEleve el nivel en la disciplina de analista de datosAtraer, reclutar e incorporar analistas de datosDesarrollo estrategico de analista de datos para areas de Usear research, UX, Marketing, Ventas, TILo siguiente probablemente será útil Experiencia como gerente de analista de datos (o un puesto de liderazgo similar) en una empresa moderna de productos y tecnología.Experiencia trabajando en un entorno de crecimiento o creando productos de crecimiento.Se prefiere una maestría o superior en un campo técnico y/o cuantitativo, como informática, matemáticas, física o economía.Historial comprobado de atraer y reclutar analistas de datos.Con experiencia en la organización de analistas de datos de la mejor manera posible en diversos entornos.Capacidad comprobada para entregar productos y soluciones que resuelvan las necesidades reales de los clientes con un modelo de negocio viable.Experiencia en proyectos líderes que construyen soluciones digitales a escala; lo más delgado y ágil posible.*Más de 2 años de experiencia realizando análisis cuantitativos de productos/negociosAltamente competente con SQL y herramientas de visualización (p. ej., Tableau) y al menos un lenguaje de secuencias de comandos/estadístico (se prefiere R, Python)Asóciese con equipos multifuncionales para definir métricas de éxito, cree enfoques para rastrear los datos y solucionar errores, cuantifique y evalúe los datos, luego desarrolle un lenguaje común para que todos los colegas entiendan estos KPI.Buenas habilidades comunicativas, tanto escritas como orales. Puede establecer relaciones causales y conocimientos significativos utilizando metodologías y datos estadísticos.Experiencia práctica con la experimentación, incluido el diseño, la implementación y las metodologías (p. ej., prueba de hipótesis y análisis de regresión) para analizar e interpretar los resultados para los socios.Experiencia en la consulta y manipulación de conjuntos de datos sin procesar para su análisisCómodo funcionamiento en espacios con alta ambigüedad y adaptarse fácilmente a entornos cambiantesAquí hay algunas maneras en las que tendrá un impacto: Definir y monitorear regularmente indicadores clave de rendimiento, métricas de éxito y resaltar ideas para optimizar nuestra experiencia de usuario en todas las plataformas.Configure y evalúe los resultados de las pruebas A/B e impulse los próximos pasos a un ritmo aceleradoEntregue informes e información estratégica a través de análisis y extracciones manuales de datos de varias plataformas publicitarias, herramientas de datos y seguimiento interno para impulsar los OKR.Dimensionar la oportunidad de diferentes estrategias e iniciativas de productosComunicar de manera óptima los hallazgos a los miembros internos y externos del equipo.Liderar la investigación, el desarrollo y la entrega de modelos analíticos que se utilizarán para diseñar estrategias y probar nuevas mejoras y funciones de productos.Tipo de puesto: Medio tiempoHoras de medio tiempo: 20 por semanaSalario: $5,886.00 - $19,050.00 al mesHorario:Horario flexibleLunes a viernesPrestaciones:Aumentos salarialesHorarios flexiblesPrograma de referidosTrabajar desde casaTipos de compensaciones:Bono anualEducación:Licenciatura terminada (Obligatorio)Experiencia:Analista de marketing: 4 años (Obligatorio)SQL: 1 año (Deseable)Análisis de datos: 1 año (Deseable)Google Analytics: 4 años (Obligatorio)Google Analytics 360: 4 años (Obligatorio)Licencia/Certificación:Google Analytics Certification (Obligatorio)Fecha de inicio prevista: 15/06/2022",not specified,2022-09-08,2022-10-16,MX,month,3,Not specified,1,623.4000000000001,"r,python,tableau",remoto,"maestría o superior en un campo técnico y/o cuantitativo, como informática, matemáticas, física o economía",4.0,not specified,not specified
Analista de Datos,Knotion,Michoacán,Morelia,700.0,,MXN,"¡Llevemos el aprendizaje a una nueva dimensión!Somos una EdTech mexicana especializada en el desarrollo de ecosistemas de aprendizaje integrados que combinan ciencia y conciencia para impulsar a las escuelas latinoamericanas en su labor de convertir alumnos en seres humanos, más humanos.Estamos en búsqueda de Analista de Datos para realizar tareas relacionadas con el análisis, identificación e interpretación de los datos provenientes de las bases de datos y sistemas, para dotar de insumos a la estrategia de Data de la empresa.Funciones específicas: * Recopilación, transformación y agrupación de datos de diversas fuentes de datos.* Realización de tareas de análisis descriptivo y diagnóstico, utilizando técnicas matemáticas y estadísticas.* Diseño de algoritmos predictivos que ayuden a la toma de decisiones.* Aplicación de modelos matemáticos y estadísticos que buscan responder a una hipótesis planteada.* Preparación de insumos para procesos de Machine Learning.* Propuesta de productos (dashboards o elementos visuales) generados durante el análisis.* Revisión y validación de resultados.* Consultas, redacción de informes y presentación de conclusiones.Conocimientos técnicos indispensables: * Arquitectura, diseño y extracción de datos de bases de datos relacionales y no relacionales.* Minería de datos y técnicas de segmentación.* Conocimientos de estadística y experiencia en el uso de paquetes estadísticos para el análisis de conjuntos de datos (Excel, SPSS, SAS, etc.).* Lenguajes de programación como SQL, Oracle y Python.* Principales software para la visualización de datos, como Tableau y Qlik.Conocimientos técnicos deseables: * Técnicas de machine learning, data munging o data wrangling.* Experiencia en el uso de Servicios de AWS.Habilidades: * Pensamiento lógico y crítico.* Capacidad de síntesis.* Creatividad e innovación.* Curiosidad para analizar e interpretar los datos.* Resolución de problemas.* Interés por el sector educativo.* Comunicación efectiva.* Enfoque sistémico.* Proactividad.* Licenciatura o superior en carreras en Ciencias de Datos, Sistemas de Información, Matemáticas o Estadística, con al menos 2 años de experiencia laboral demostrada como analista de datos o DBA.Horario laboral de lunes a viernes de 8:00 a 17:00 de manera presencial en Morelia.Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $14,000.00 al mesHorario:Lunes a viernesTurno de 8 horasPuede trasladarse/mudarse:58200, Morelia, Mich.: Trasladarse al trabajo sin problemas o planear mudarse antes de comenzar a trabajar (Deseable)Experiencia:Análisis de datos: 2 años (Deseable)",not specified,2022-09-05,2022-10-16,MX,month,9,Not specified,1,700.0,"excel,spss,sas,aws,sql,oracle,python,tableau,qlik",presencial,"licenciatura o superior en carreras en ciencias de datos, sistemas de información, matemáticas o estadística",2.0,pensamiento lógico y crítico. capacidad de síntesis. creatividad e innovación. curiosidad para analizar e interpretar los datos. resolución de problemas. interés por el sector educativo. comunicación efectiva. enfoque sistémico. proactividad.,not specified
Analista de Información,Keyser,not specified,not specified,750.0,750.0,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
Estamos en busca de:
ANALISTA CUENTAS BANCARIAS Objetivo: Generar, automatizar y mantener disponibles los reportes que proporcionen información oportuna y confiable para la toma de decisiones, minimizando el riesgo operativo mediante el análisis de indicadores.


Requisitos:
Mayor de 18 años
Sexo: Indistinto
Escolaridad:Ingeniería, Lic. Matemáticas, Lic. Actuaria, Ing. Industrial.
Excel intermedio y/o curso en ciencia de datos, .
Experiencia Mínima de 1 año en el área de análisis de indicadores, automatización de procesos, minería y limpieza de datos, cubos de información, KPIs y tableros de control. Deseable modelos econométricos o modelos de pronósticos de algún tipo.
Habilidades Experiencia en el análisis de datos orientado a la Inteligencia de Negocios. Proyecciones Líneas de tendencia Excel (Avanzado) Minería de Datos (Intermedio) Consultas SQL (intermedio). Interpretación de Dashboards y alertas. Tableros de control y KPI’s Automatización de información.
Disponibilidad para laborar LUNES A VIERNES 09:00 A 18:00 HRS
DESCANSO EN FIN DE SEMANA
Funciones: - Generación de cubos de información, modelos predictivos de resultados y analíticos del Negocio. - Modelos de Evaluación de Rentabilidad de Negocio. - Cálculo de Metas e Incentivos. - Aplicar Modelos Estadísticos para el modelado de resultados de la información. - Correr modelos estadísticos que permitan identificar patrones de comportamiento - Generación de Reportes AdHoc - Cuadres de Información. - Generación de Dashboards y alertas - Evaluación Estadística de Modelos de Rentabilidad. - Control mediante Alertas de Desviación de Metas. - Implementación de nuevos proyectos definiendo KPIs de negocio. OFRECEMOS:
Sueldo: $15,000.brutos mensuales.
Bono Anual $15,000.
Incentivo monetario por referidos
Prestaciones superiores a la Ley
30 días de aguinaldo.
20 días de vacaciones desde el primer año.
30 días de prima vacacional.
Modalidad: Presencial
.
*Zona para laborar* Alcaldía Benito Juárez a 1 cuadra del metro San pedro de los Pinos Línea Naranja.
El proceso de reclutamiento y selección se llevará a cabo por medios digitales
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/benito-juarez/analista-de-informacion/62fc2a3c2b00006300cf64edt1?source=indeed",not specified,2022-08-16,2022-10-16,MX,month,2,Not specified,1,750.0,"excel,sql",not specified,"ingeniería, lic. matemáticas, lic. actuaria, ing. industrial.",1.0,not specified,not specified
Desarrollador Business Intelligence,GRUPO CSI,Baja California,Tijuana,800.0,1000.0,MXN,"Grupo CSI solicita coordinador de inteligencia de mercados.Ofrecemos: Sueldo de $4,000 A $5,000 semanales libres.Requisitos: Dominio en lenguaje de programación tipo Python, Ruby, R etc para la codificación de base de datos y analíticos.Experto en organizar información cuantitativa.Responsabilidades: Diseñar, desarrollar informes analíticos y comerciales que pronostiquen la demanda.Analista de ventas y proyección a mediano plazo por categorías.Escriba códigos SQL para analizar datos y determinar herramientas que nos permitan leer estadísticos para la toma de decisiones en compras.Identificar oportunidades nuevas mercado.Documentación de procesos en esta área.Para postularte: Enviar CV a hugo.lopez @ gpocsi.mx o bien, enviar mensaje al whatsapp 664 363 6135Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $16,000.00 - $20,000.00 al mesHorario:Turno matutinoPregunta(s) de postulación:Puedes trasladarte a plaza centro comercial otay?",not specified,2022-09-02,2022-10-16,MX,month,4,Not specified,0,900.0,"python,ruby,r,sql",not specified,not specified,,not specified,not specified
Científico de Datos Retail Híbrido CDMX,Training Talent,not specified,not specified,2250.0,2750.0,MXN,"Capacitación y certificaciones constantes, ambiente relajado, trabajo por objetivos, estabilidad laboral; somos una consultora especializada en soluciones de Big Data y Analítica Mundial, buscamos para nuestro equipo un consultor Data Science con amplia experiencia en Retail y Analítica de datos para el desarrollo de proyectos de Gestión Avanzada de Clientes, Estrategias Comerciales y Estrategias de marketing en el sector retail.Mucho desarrollo y crecimiento en todo sentido, capacitación y dinámicas:Ingreso de $45,000 a $55,000 pesos libres 100% nominal (vales de restaurante, caja de ahorro, seguro médico privado, etc.).Horario de lunes a viernes de 9:00 a.m. a 6:30 p.m.Zona de trabajo: Home Office3 a 5 años de experiencia mínima como: Analista de base de datos, consultor data Science, científico de datos retail, analista big data retail, consultor de base de datos, analista estadístico, big data Engineer, analista de información, Analista técnico para proyectos de tecnología Business Analyst, BA, con experiencia en retail. Analista consultor big data, consultor data Science, científico de datos, analista big data, Big Data Developer, desarrollador PySpark, Spark Analyst, Spark Developer, Programador Big Data Spark, Ingeniero de datos Spark, Ingeniero de datos Hadoop, desarrollador Data ScienceAdministración de empresas, Económicas, Marketing, Ingenierías. Valorable MBAInglés conversacionalExperiencia mínima de 4 años participando en proyectos de negocio, TI o Data Science, deseable en sector retailConocimiento y experiencia en alguna/s de las áreas principales del retail (operaciones, marketing, logística, pricing, surtido, etc)Experiencia en diseño de planes estratégicos para áreas de marketing, promociones y CRM principalmenteConocimientos en programas de lealtad y estrategias de EngagementExperiencias en elaboración de Assessments, estudios de mercado, análisis de data pública y colaboración con compañías/partners específicos como agenciasExcelente capacidad de comunicación, tanto verbal como escritaExperiencia demostrable en: Analítica para la implementación de campañas de marketing y modelos predictivos con objetivos: Incremento de Share of wallet, Incremento de frecuencia, Incremento de ticket medio, NPSExcelente capacidad analítica (generación de Business cases, estimaciones de retornos, diseño y medición de KPIS estratégicos, análisis específicos de clientes en función del caso de negocio)Fundamentos de ciencia de datos (Python, R, Data Studio, SQL, plataformas de BI como Tableau, QlikView, Power BI, etc). Valorable experiencia analizando grandes volúmenes de datosConocimiento de Excel y Power Point avanzadoMuy valorable conocimiento y/o experiencia en soluciones de Marketing de Salesforce (otras SAP, SAS y/o Adobe)Tipo de puesto: Tiempo completoSalario: $45,000.00 - $55,000.00 al mesHorario:Turno de 8 horas",not specified,2022-09-11,2022-10-16,MX,month,12,Not specified,0,2500.0,"sap,sas,pyspark,microsoft,adobe,python,r,data studio,sql,tableau,qlikview,power bi",híbrido,not specified,3.0,not specified,not specified
Analista Planeación de la Demanda - Recién egresado en Actuaria o Matematic,MODATELAS SAPI DE CV,not specified,not specified,720.0,,MXN,"Perfil requerido: Indispensable dominio en el programa R- Studio. Sin experienciaSexo:  Indistinto.Escolaridad:  Licenciatura en Actuaría, Finanzas o afín.Conocimientos:  Manejo de Excel Avanzado y R StudioHabilidades:  Análisis numérico y enfoque a resultadosSin experiencia, pero dominio al 100% en R- Studio.Funciones: Pronostica la demanda de productosRealiza análisis estadísticosPlanea la distribución del producto a tiendas de acuerdo a demandaImpulsa productos (push)Coloca órdenes de reposición de inventario de la tiendaOfrecemos contratación directa con la empresa, prestaciones de Ley, 30 días de aguinaldo y esquema hibrido de trabajo.Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $14,400.00 al mesHorario:Turno de 10 horasPrestaciones:Opción a contrato indefinidoConsideraciones ante el COVID-19:Se toman todas las medidas preventivas ante COVID-19Educación:Licenciatura terminada (Deseable)Experiencia:Reclutamiento y selección: 1 año (Deseable)",not specified,2022-09-01,2022-10-16,MX,month,2,Not specified,1,720.0,"r,excel",not specified," licenciatura en actuaría, finanzas o afín",1.0,not specified,Inglés
